Name,Class,A[deg],D[deg],ˆns,γˆ,-log10(plocal),φ90%
S50716+71,BLL,110.49,71.34,0.0,2.5,0.38,7.4
PSRB0656+14,GAL,104.95,14.24,8.4,4.0,0.51,4.4
1ES0647+250,BLL,102.70,25.06,0.0,2.9,0.27,3.0
B30609+413,BLL,93.22,41.37,1.8,1.7,0.42,5.3
Crabnebula,GAL,83.63,22.01,1.1,2.2,0.31,3.7
OG+050,FSRQ,83.18,7.55,0.0,3.2,0.28,2.9
TXS0518+211,BLL,80.44,21.21,15.7,3.8,0.92,6.6
TXS0506+056,BLL,77.35,5.70,12.3,2.1,3.72,10.1
PKS0502+049,FSRQ,76.34,5.00,11.2,3.0,0.66,4.1
S30458-02,FSRQ,75.30,-1.97,5.5,4.0,0.33,2.7
PKS0440-00,FSRQ,70.66,-0.29,7.6,3.9,0.46,3.1
MG2J043337+2905,BLL,68.41,29.10,0.0,2.7,0.28,4.5
PKS0422+00,BLL,66.19,0.60,0.0,2.9,0.27,2.3
PKS0420-01,FSRQ,65.83,-1.33,9.3,4.0,0.52,3.4
PKS0336-01,FSRQ,54.88,-1.77,15.5,4.0,0.99,4.4
NGC1275,AGN,49.96,41.51,3.6,3.1,0.41,5.5
NGC1068,SBG,40.67,-0.01,50.4,3.2,4.74,10.5
PKS0235+164,BLL,39.67,16.62,0.0,3.0,0.28,3.1
4C+28.07,FSRQ,39.48,28.80,0.0,2.8,0.30,3.6
3C66A,BLL,35.67,43.04,0.0,2.8,0.30,3.9
B20218+357,FSRQ,35.28,35.94,0.0,3.1,0.33,4.3
PKS0215+015,FSRQ,34.46,1.74,0.0,3.2,0.27,2.3
MG1J021114+1051,BLL,32.81,10.86,1.6,1.7,0.43,3.5
TXS0141+268,BLL,26.15,27.09,0.0,2.5,0.31,3.5
B30133+388,BLL,24.14,39.10,0.0,2.6,0.28,4.1
NGC598,SBG,23.52,30.62,11.4,4.0,0.63,6.3
S20109+22,BLL,18.03,22.75,2.0,3.1,0.30,3.7
4C+01.02,FSRQ,17.16,1.59,0.0,3.0,0.26,2.4
M31,SBG,10.82,41.24,11.0,4.0,1.09,9.6
PKS0019+058,BLL,5.64,6.14,0.0,2.9,0.29,2.4
PKS2233-148,BLL,339.14,-14.56,5.3,2.8,1.26,21.4
HESSJ1841-055,GAL,280.23,-5.55,3.6,4.0,0.55,4.8
HESSJ1837-069,GAL,279.43,-6.93,0.0,2.8,0.30,4.0
PKS1510-089,FSRQ,228.21,-9.10,0.1,1.7,0.41,7.1
PKS1329-049,FSRQ,203.02,-5.16,6.1,2.7,0.77,5.1
NGC4945,SBG,196.36,-49.47,0.3,2.6,0.31,50.2
3C279,FSRQ,194.04,-5.79,0.3,2.4,0.20,2.7
PKS0805-07,FSRQ,122.07,-7.86,0.0,2.7,0.31,4.7
PKS0727-11,FSRQ,112.58,-11.69,1.9,3.5,0.59,11.4
LMC,SBG,80.00,-68.75,0.0,3.1,0.36,41.1
SMC,SBG,14.50,-72.75,0.0,2.4,0.37,44.1
PKS0048-09,BLL,12.68,-9.49,3.9,3.3,0.87,10.0
NGC253,SBG,11.90,-25.29,3.0,4.0,0.75,37.7
